Name,AVERAGE SIX-YEAR GRADUATION RATE,AVERAGE FIRST-YEAR STUDENT RETENTION RATE,PELL GRANT GRADUATION RATES,PELL GRANT GRADUATION RATE PERFORMANCE,GRADUATION RATE PERFORMANCE,PEER ASSESSMENT SURVEY,CLASS SIZE INDEX,FACULTY COMPENSATION,PERCENT FACULTY WITH TERMINAL DEGREE IN THEIR FIELD,PERCENT FACULTY THAT IS FULL TIME,STUDENT-FACULTY RATIO,MATH AND EVIDENCE-BASED READING AND WRITING,HIGH SCHOOL CLASS STANDING IN TOP 10%,FINANCIAL RESOURCES PER STUDENT,AVERAGE ALUMNI GIVING RATE,GRADUATE INDEBTEDNESS TOTAL,GRADUATE INDEBTEDNESS PROPORTION WITH DEBT,DIVERSITY SCORE,TUITION AND FEES
Adelphi University,70.75,80.5,64.42157082121278,74.70191809227575,54.81283422459893,21.875,58.85750962772787,40.380561248327076,68.16143497757848,39.45371775417299,68.30985915492957,37.98449612403098,29.292929292929294,7.2787372853130945,7.69230769230769,55.63926866495631,35.22727272727272,45.350579817683354,36.674795331823724
American University,79.25,87.5,77.84739315283059,85.17690513219284,23.213417598444337,50.0,73.94094993581514,44.237239574937455,87.21973094170404,66.76783004552354,71.83098591549296,61.24031007751938,34.343434343434346,11.717336906097753,9.109311740890686,61.22170623193583,36.36363636363635,39.597417568477205,21.24368576902978
Arizona State University,69.0,86.0,47.03513090176772,52.031629903839814,41.71122994652404,50.0,40.94993581514764,38.8233517293142,67.48878923766817,84.2185128983308,47.183098591549296,46.51162790697674,29.292929292929294,6.896670061716439,12.955465587044532,69.45734420160426,55.68181818181817,46.50335145471683,
Auburn University,78.0,91.25,53.14388006265383,41.53771384136857,41.09203490008446,50.0,34.146341463414636,34.274556694120825,74.43946188340807,92.41274658573596,40.14084507042253,51.16279069767441,33.333333333333336,7.511984349829377,26.518218623481776,64.18666580066898,63.63636363636363,7.595187096410271,
Baker University,60.5,75.75,42.604609532333846,56.87826947547009,44.50285507115021,6.25,96.34146341463415,11.805383197979797,71.52466367713005,75.41729893778452,68.30985915492957,20.155038759689916,10.101010101010102,3.7324084395607704,12.145748987854248,52.55090442633065,25.0,23.24044835150039,55.61748824246647
Baylor University,78.25,89.5,69.54575967778024,67.94795486691115,39.21568627450981,50.0,59.884467265725284,38.07846583059164,71.52466367713005,87.86039453717754,57.74647887323944,56.589147286821685,49.494949494949495,11.652198394180058,26.518218623481776,62.74802714902737,51.13636363636363,30.597775176332007,23.163211983974904
Belmont University,71.5,83.0,55.59409263817408,66.20334370139966,28.285955530537592,31.25,66.43132220795893,35.060352539465434,74.21524663677131,57.966616084977225,61.267605633802816,46.51162790697674,28.282828282828284,3.782772520900509,17.004048582995946,62.80323450134771,52.272727272727266,9.637823686927732,43.720606166173134
Bethel University (MN),73.5,84.75,64.42157082121278,69.19876391105007,41.29530600118835,12.5,75.03209242618743,16.27836202024435,50.89686098654708,52.95902883156297,68.30985915492957,43.25581395348837,25.252525252525253,4.463970936326782,9.311740890688258,59.81554249342383,25.0,9.137207155693332,40.84654241421355
Binghamton University--SUNY,81.75,91.25,82.79257104497648,85.56028156170558,48.4097945398255,40.625,48.13863928112967,33.957205904955316,86.09865470852019,83.91502276176024,43.66197183098592,71.31782945736433,53.535353535353536,5.2069470208733515,8.704453441295545,67.64524404897216,51.13636363636363,34.0105730413987,
Biola University,72.75,84.25,61.06511523830833,71.1550586356185,43.56715948411451,12.5,71.82284980744545,25.296511945669856,66.36771300448432,72.5341426403642,61.267605633802816,41.860465116279045,27.272727272727273,6.4066352185413775,10.12145748987854,54.06748286948332,38.63636363636363,50.18132656818689,33.35307437728618
