,rownum,bin,OCCURRED,LAG,DateTime
2095,62257,395.0,01/30/11,0,2011-01-30
2096,62258,529.0,01/30/11,0,2011-01-30
2097,62259,395.0,01/30/11,0,2011-01-30
2098,62260,542.0,01/30/11,0,2011-01-30
2099,62261,542.0,01/30/11,0,2011-01-30
2100,62434,68.0,01/29/11,0,2011-01-29
2101,62435,20.0,01/29/11,0,2011-01-29
2102,62436,67.0,01/29/11,0,2011-01-29
2103,62437,571.0,01/29/11,0,2011-01-29
2104,62438,66.0,01/29/11,0,2011-01-29
2105,62439,557.0,01/29/11,0,2011-01-29
2106,62440,571.0,01/29/11,0,2011-01-29
2107,62441,571.0,01/29/11,0,2011-01-29
2108,62442,44.0,01/29/11,0,2011-01-29
2109,62443,105.0,01/29/11,1,2011-01-29
2110,62650,77.0,01/28/11,0,2011-01-28
2111,62651,558.0,01/28/11,0,2011-01-28
2112,62652,116.0,01/28/11,0,2011-01-28
2113,62653,321.0,01/28/11,0,2011-01-28
2114,62654,321.0,01/28/11,0,2011-01-28
2115,62867,66.0,01/27/11,0,2011-01-27
2116,62868,83.0,01/27/11,0,2011-01-27
2117,62869,559.0,01/27/11,0,2011-01-27
2118,62870,447.0,01/27/11,0,2011-01-27
2119,62871,315.0,01/27/11,0,2011-01-27
2120,62872,132.0,01/27/11,0,2011-01-27
2121,63096,526.0,01/26/11,0,2011-01-26
2122,63097,314.0,01/26/11,0,2011-01-26
2123,63098,175.0,01/26/11,0,2011-01-26
2124,63099,20.0,01/26/11,0,2011-01-26
2125,63100,544.0,01/26/11,0,2011-01-26
2126,63101,314.0,01/26/11,0,2011-01-26
2127,63102,175.0,01/26/11,0,2011-01-26
2128,63103,314.0,01/26/11,0,2011-01-26
2129,63286,79.0,01/25/11,0,2011-01-25
2130,63287,66.0,01/25/11,0,2011-01-25
2131,63288,132.0,01/25/11,0,2011-01-25
2132,63319,338.0,01/25/11,0,2011-01-25
2133,63466,79.0,01/24/11,0,2011-01-24
2134,63470,95.0,01/24/11,0,2011-01-24
2135,63471,66.0,01/24/11,0,2011-01-24
2136,63472,446.0,01/24/11,0,2011-01-24
2137,63474,79.0,01/24/11,0,2011-01-24
2138,63648,314.0,01/23/11,0,2011-01-23
2139,63649,337.0,01/23/11,0,2011-01-23
2140,63650,369.0,01/23/11,0,2011-01-23
2141,63651,292.0,01/23/11,0,2011-01-23
2142,63652,472.0,01/23/11,0,2011-01-23
2143,63653,512.0,01/23/11,0,2011-01-23
2144,63654,472.0,01/23/11,0,2011-01-23
2145,63847,294.0,01/22/11,0,2011-01-22
2146,63848,532.0,01/22/11,0,2011-01-22
2147,63849,513.0,01/22/11,0,2011-01-22
2148,63850,294.0,01/22/11,0,2011-01-22
2149,63851,511.0,01/22/11,0,2011-01-22
2150,63852,469.0,01/22/11,0,2011-01-22
2151,63853,220.0,01/22/11,0,2011-01-22
2152,63854,511.0,01/22/11,0,2011-01-22
2153,63855,56.0,01/22/11,0,2011-01-22
2154,63856,294.0,01/22/11,0,2011-01-22
2155,63857,268.0,01/22/11,0,2011-01-22
2156,63858,513.0,01/22/11,0,2011-01-22
2157,63859,294.0,01/22/11,0,2011-01-22
2158,63860,268.0,01/22/11,0,2011-01-22
2159,64043,491.0,01/21/11,0,2011-01-21
2160,64044,513.0,01/21/11,0,2011-01-21
2161,64045,513.0,01/21/11,0,2011-01-21
